train_no,train_name,journey_date,station_code,station_name,station_sequence,current_delay_min,scheduled_remaining_time_min,previous_segment_time_min,hour,day_of_week,actual_remaining_time_min
12015,AJMER SHATABDI,01-08-2026,NDLS,NEW DELHI,1,0.0,445.0,,6,5,436.0
12015,AJMER SHATABDI,01-08-2026,DEC,DELHI CANTT,2,2.0,415.0,32.0,6,5,404.0
12015,AJMER SHATABDI,01-08-2026,GGN,GURGAON,3,3.0,397.0,19.0,6,5,385.0
12015,AJMER SHATABDI,01-08-2026,RE,REWARI JN.,4,6.0,348.0,52.0,7,5,333.0
12015,AJMER SHATABDI,01-08-2026,AWR,ALWAR JUNCTION,5,10.0,300.0,52.0,8,5,281.0
12015,AJMER SHATABDI,01-08-2026,BKI,BANDIKUI JN,6,3.0,254.0,39.0,9,5,242.0
12015,AJMER SHATABDI,01-08-2026,GADJ,GANDHINAGAR JAIPUR,7,23.0,196.0,78.0,10,5,164.0
12015,AJMER SHATABDI,01-08-2026,JP,JAIPUR JN.,8,16.0,170.0,19.0,10,5,145.0
12015,AJMER SHATABDI,01-08-2026,KSG,KISHANGARH,9,18.0,90.0,82.0,12,5,63.0
12015,AJMER SHATABDI,01-08-2026,AII,AJMER JN,10,10.0,35.0,47.0,13,5,16.0
12015,AJMER SHATABDI,02-08-2026,NDLS,NEW DELHI,1,1.0,445.0,,6,6,425.0
12015,AJMER SHATABDI,02-08-2026,DEC,DELHI CANTT,2,8.0,415.0,37.0,6,6,388.0
12015,AJMER SHATABDI,02-08-2026,GGN,GURGAON,3,9.0,397.0,19.0,6,6,369.0
12015,AJMER SHATABDI,02-08-2026,RE,REWARI JN.,4,8.0,348.0,48.0,7,6,321.0
12015,AJMER SHATABDI,02-08-2026,AWR,ALWAR JUNCTION,5,13.0,300.0,53.0,8,6,268.0
12015,AJMER SHATABDI,02-08-2026,BKI,BANDIKUI JN,6,8.0,254.0,41.0,9,6,227.0
12015,AJMER SHATABDI,02-08-2026,GADJ,GANDHINAGAR JAIPUR,7,2.0,196.0,52.0,10,6,175.0
