station_code,station_name,lat,lon,n_trains
AADR,AMB  ANDAURA,31.670257,76.109921,1
AAS,ASRANADA,26.397444,73.305395,1
ABR,ABU ROAD,24.471135,72.776055,6
ABS,ABOHAR,30.139338,74.193935,2
ADH,ANDHERI,19.1171389,72.846563,3
ADI,AHMEDABAD JN,23.025475,72.601476,5
ADR,MANDI ADAMPUR,29.282806,75.468521,1
AIA,AJARAKA,27.959761,76.564579,2
AII,AJMER JN,26.456742,74.637594,17
AKV,ANKLESHWAR JN,21.624359,73.001103,1
AME,AMETHI,26.152664,81.805916,1
AMLI,AMLI,25.828016,76.286016,1
ANND,ANAND JN,22.561787,72.966213,3
ANSB,ANANDPUR SAHIB,31.2300436,76.5001335,1
ARNA,ARNIYA,27.008973,76.515827,2
ASKN,ASHOK NAGAR,24.58028,77.726855,3
ASN,ASANSOL JN.,23.691101,86.974812,3
ASV,Asarva Jn,23.043721,72.612677,2
ATH,ANTAH,25.1610171,76.3071084,2
ATRU,ATRU,24.8820454,76.6701285,2
ATUL,ATUL,20.548258,72.927932,1
AUBR,ANUGRAHA N ROAD,24.8555556,84.3294444,1
AUS,ANUPSHAHR,28.965496,75.200558,1
AWR,ALWAR JUNCTION,27.559493,76.621485,12
BAI,BASSI,26.840767,76.047363,2
BANE,BASNI,26.223103,73.010779,2
BAQ,GANJ BASODA,23.845257,77.944736,1
BAZ,BARAN,25.0965201,76.5048784,3
BBK,BARABANKI JN,26.935385,81.18109,1
BDC,BANDEL,22.9235765,88.3792823,1
BE,BAREILLY(NR),28.3371343,79.4108244,2
BEAS,BEAS,31.5198538,75.2912885,2
BEHR,BEOHARI,24.0004487,81.3798954,1
BER,BEAWAR,26.1085078,74.3145711,5
BET,BARETH,23.91510729,77.99983978,1
BGKT,BHAGAT KI KOTHI,26.2480872,73.0129266,3
BGZ,BAHADURGARH,28.701053,76.931076,1
BH,BHARUCH JN,21.707317,72.998099,3
BHL,BHILWARA,25.3440308,74.6312534,8
BHS,VIDISHA,23.5226486,77.8151956,1
BHT,BHATTU,29.38655,75.339646,1
BHWA,Bechhiwara,23.780632,73.523555,1
BIM,BILIMORA JN,20.763779,72.970934,1
BINA,BINA JN,24.1711135,78.1833398,1
BJNR,BIJAINAGAR,25.930613,74.6526689,6
BKI,BANDIKUI JN,27.039251,76.566703,10
BKN,BIKANER JN,28.014029,73.316488,6
BKRO,BOKARO THERMAL,23.7853803,85.8758082,1
BL,VALSAD,20.6086295,72.9335991,4
BLD,BHILAD,20.2756332,72.887756,1
BLQR,BILASPUR ROAD,28.865121,79.253783,1
BLT,BALOTRA JN.,25.830121,72.248733,1
BLZ,BUDHLADA,29.9217422,75.5496866,1
BNG,BARNAGAR,23.061214,75.376554,1
BNLW,BANASTHALI NIWAI,26.366033,75.941277,4
BNO,BANAR,26.33973,73.146651,1
BNW,BHIWANI JN.,28.7979561,76.1251097,4
BOBS,BOBAS,26.9059164,75.4983258,1
BOR,BOISAR,19.7982373,72.761609,1
BOW,BORAWAR,27.027783,74.666862,1
BOY,BHADOHI,25.3953036,82.5583997,1
BRC,VADODARA JN,22.310696,73.181005,5
BRGW,BARGAWAN,24.197182,82.456169,1
BSB,VARANASI,25.326901,82.986088,1
BSJ,BHUPALSAGAR,24.8473393,74.2113483,1
BSR,VASAI ROAD,19.3823886,72.8321617,2
BSRL,BESROLI,26.991154,74.561205,1
BTE,BHARATPUR JN,27.236697,77.488203,1
BTI,BATHINDA,30.209828,74.932423,2
BTJL,BHATKAL,13.98911,74.5660089,1
BTU,BARAUT,29.09694,77.273026,1
BU,BASWA,27.149436,76.575394,5
BUB,BISSAU,28.2402814,75.0613884,1
BUDI,BUNDI,25.408392,75.651169,2
BUT,BAYTU,25.897218,71.76836,1
BVH,BALLABGARH,28.342763,77.311821,1
BVI,BORIVALI,19.229149,72.856822,5
BWK,BAWANI KHERA,28.939059,76.032257,2
BWL,BAWAL,28.070011,76.572132,4
BWM,BHAWANI MANDI,24.419702,75.83004,1
BWN,BARDHAMAN,23.249548,87.870111,2
BXN,BAYANA JN,26.916024,77.296801,1
CAG,CHHABRA GUGOR,24.680089,76.850739,2
CAN,KANNUR,11.8710942,75.3687267,1
CDG,CHANDIGARH,30.7018973,76.822,1
CHI,CHIPLUN,17.5421274,73.522049,1
CHNN,CHANNANI,26.49531,75.920677,1
CHP,CHHAPI,24.034628,72.400331,1
CKB,CHAUTH KA BARWARA,26.050923,76.148643,4
CKD,CHARKHI DADRI,28.600499,76.279621,4
CKS,CHAKSU,26.592518,75.910378,1
CLT,KOZHIKKODE,11.246514,75.780687,1
CMU,CHAU MAHLA,23.948645,75.601301,1
CNA,CHANDERIA,24.939448,74.629869,6
COM,CHOMUN SAMOD,27.157913,75.70241,2
COR,CHITTAURGARH JN.,24.874601,74.623947,5
CPR,CHHAPRA,25.78799,84.724674,1
CPU,CHOPAN,24.51425,83.026063,1
CRP,CHANDRAPURA,23.755496,86.119595,1
CRWA,CHIRAWA,28.223264,75.651019,1
CUR,CHURU,28.288661,74.966583,4
CWDA,CWDA,30.224513,74.127648,1
DARA,DARA,24.832389,76.005564,1
DBD,DEOBAND,29.6797715,77.6706134,1
DDU,PT.DEEN DAYAL UPADHYAYA JN.,25.514146416666666,83.5029605,2
DEC,DELHI CANTT,28.613384,77.116427,5
DEE,DELHI SARAI ROHILLA,28.662952,77.187066,3
DEOS,DEORIA SADAR,26.508061,83.782339,1
DGR,DURGAPUR,23.495366,87.298222,2
DGW,DHIGAWARA,27.295825,76.613159,2
DHD,DAHOD,22.843907,74.253674,1
DHN,DHANBAD JN,23.791196,86.429186,2
DIA,DIDWANA,27.406138,74.557686,1
DING,DING,29.4609337,75.2604846,1
DKBJ,DAHAR KA BALAJI,26.944491,75.765839,2
DLD,DALAUDA,23.949077,75.105801,1
DLI,DELHI JN.,28.661596,77.228136,7
DLPC,DAULATPUR CHAUK,31.670257,76.109921,1
DMO,DAMOH,23.836543,79.432096,2
DNA,DEGANA JN,26.897119,74.316158,7
DNK,DHANAKYA,26.91809,75.605507,1
DNRP,Dungarpur,23.867315,73.695602,2
DO,DAUSA JUNCTION,26.900487,76.330776,10
DOB,DUNDLOD MUKANDGARH,27.965447,75.235405,1
DOD,DHODHAR,23.770421,75.103226,1
DOR,DUNDARA,25.895519,72.796612,1
DPA,DURGAPURA,26.855777,75.786266,6
DPLN,DIPLANA,29.184988,74.832687,1
DPZ,DEVPURA,26.03226,76.251297,1
DRD,DAHANU ROAD,19.991417,72.743568,2
DSA,DELHI SHAHDARA,28.672968,77.293024,1
DSO,DESHNOK,27.791023,73.338203,3
DTO,DALTONGANJ,24.032825,84.074593,1
DUI,DHURI JN,30.373171,75.867033,1
DWK,Dwarka,22.250653,68.980064,1
DWX,DEWAS,22.977676,76.051311,2
DZA,DASUYA,31.80829,75.657692,1
ENB,ELLENABAD,29.443484,74.658108,2
FA,FALNA,25.235418,73.234563,5
FAN,FATEHNAGAR,24.8179,74.095402,3
FDK,FARIDKOT,30.683097,74.76162,1
FKA,FAZILKA,30.408931,74.025707,1
FL,PHULERA,26.873234,75.245876,17
FPS,FATEHPUR-SHEKHAWATI,28.000388,74.970703,1
FTD,FATEHABAD CH.JN,23.009596,75.673828,1
FZP,FIROZPUR CITY,30.962117,74.600902,1
FZR,FIROZPUR CANT,30.941986,74.617939,1
GA,GUDHA,26.950382,75.128632,1
GADJ,GANDHINAGAR JAIPUR,26.873387,75.7986,11
GAMI,GOGAMERI,29.160556,75.034046,2
GAYA,GAYA JN,24.804188,84.999504,1
GCH,GACHHIPURA,26.953442,74.454346,3
GDA,GODHRA JN,22.776894,73.603592,1
GDB,GIDDARBAHA,30.201149,74.663172,1
GGC,GANGAPUR CITY JUNCTION,26.468499,76.727228,1
GGN,GURGAON,28.489325,77.010899,8
GGR,GANGRAR,25.061499,74.624977,2
GHD,GARWA ROAD JN,24.214639,83.885336,1
GHH,GARHI HARSARU,28.43777,76.929917,1
GHS,GURU HARSAHAI,30.715201,74.400187,1
GJUT,GANGSAR JAITU,30.445122,74.879551,1
GKP,GORAKHPUR JN,26.759751,83.381939,1
GLG,GULABHGANJ,23.684145,77.912121,1
GND,GOVINDGARH MALIKPUR,27.240742,75.645161,2
GOH,GAROT,24.354486,75.726099,1
GOTN,GOTAN,26.652061,73.737144,5
GOY,GOVINDPURI,26.454283,80.313063,1
GPX,GAUTAMPURA ROAD,23.029977,75.515556,1
GTJT,GETOR JAGATPURA,26.836555,75.832014,5
GUNA,GUNA,24.64062,77.314224,3
GVD,GHOLVAD,20.08705,72.738161,1
GZB,GHAZIABAD,28.650072,77.431469,3
HAN,HINDAUN CITY,26.755804,77.031326,1
HAPA,Hapa,22.468584,70.11775,1
HDA,HIRNODA,26.885636,75.327759,1
HDW,HALDWANI,29.215257,79.533892,1
HJP,HAJIPUR JN,25.702949,85.21554,1
HMG,HAMIRGARH,25.187234,74.616909,1
HMH,HANUMANGARH JN,29.614804,74.297533,5
HMO,HANUMANGARHTOWN,29.574054,74.331093,2
HMT,Himmatnagar,23.591245,72.959948,2
HNS,HANSI,29.087977,75.946941,2
HP,HARIPUR,26.012747,74.025278,1
HPU,HAPUR,28.739893,77.779856,1
HSI,HARSAULI,27.864878,76.615219,3
HSR,HISAR,29.152161,75.724125,5
HW,HARIDWAR JN,29.948167,78.155279,1
IDG,INDARGARH,25.727694,76.232758,4
IDH,IDGAH AGRA JN,27.17288,77.998037,1
ISA,ISARDA,26.170075,76.030197,5
JAC,JALSU,26.844443,74.194107,1
JAJ,JHAJHA,24.779176,86.399574,1
JAL,JAWALI,25.463192,73.397341,1
JAM,Jamnagar,22.493962,70.053849,1
JAO,JAORA,23.627383,75.115242,1
JAT,JAMMUTAVI,32.706495,74.879637,1
JBD,JALLALABD,30.60774,74.268436,1
JGN,JAGRAON,30.800907,75.472469,1
JHJ,JHAJJAR,28.5467215,76.594362,1
JHL,JAKHAL JN,29.801624,75.824375,2
JIND,JIND JN,29.328836,76.289577,2
JJN,JHUNJHUNU,28.106812,75.390544,1
JKZ,JITAKHERI,29.018499,75.985394,2
JNA,JULANA,29.119624,76.396008,1
JOB,ASALPURJOBNER,26.900334,75.423717,7
JOM,JOGI MAGRA,26.698232,73.818512,1
JP,JAIPUR JN.,26.920233,75.786953,23
JRC,JALANDHAR CANT,31.306715,75.632586,2
JRL,JHARILI,28.50626,76.374378,2
JSM,JAISALMER,26.91656,70.928249,1
JSME,JASIDIH JN.,24.514797,86.644535,1
JTS,JATUSANA,28.330978,76.520634,2
JU,JODHPUR JN,26.283565,73.02299,8
JUC,JALANDHAR CITY,31.331425,75.591259,2
JUDW,JAGADHRI WSHOP,30.135478,77.240739,1
JWL,JAJIWAL,26.364957,73.214779,1
JWO,JAWAD ROAD,24.557897,74.764709,1
JYM,Jai Samand Road,24.308931,73.774395,2
KAH,KALHAR,23.978411,78.057518,1
KAT,KHATAULI,29.273822,77.737098,1
KAWR,KARWAR,14.820897,74.182649,1
KGBS,KISHANGARH BALAWAS,28.262507,76.571274,2
KGG,KHAGARIA JN.,25.505961,86.465321,1
KIN,KAPASAN,24.86183,74.312382,6
KIP,KHALILPUR,28.275056,76.678562,1
KIR,KATIHAR JN,25.548637,87.566099,1
KKDE,KURUKSHETRA JN,29.9691,76.852455,1
KKP,KOT KAPURA,30.578076,74.817753,1
KKU,KANAKPURA,26.92911,75.702839,4
KLE,KAITHAL,29.792835,76.397896,1
KLL,KALOL,23.244146,72.5032,3
KLV,KELVA ROAD,19.624641,72.790861,1
KLYT,KOLAYAT,27.835129,72.954884,1
KMBL,Khambhaliya,22.217523,69.657354,1
KMNC,KUCHAMAN CITY,27.049036,74.840927,5
KMZ,KATNI MURWARA JUNCTION,23.8338763,80.4010044,2
KNE,KISHANGANJ,26.098066,87.949977,1
KNL,KALANWALI,29.834837,74.97963,2
KNN,KHANNA,30.708043,76.225204,1
KOTA,KOTA JN,25.223733,75.88068,6
KPTN,KESHORAI PATAN,25.324632,75.937843,1
KPZ,KAPREN,25.444825,76.086502,2
KQL,KANDHLA,29.324271,77.292809,1
KRCD,Kharwa Chanda,24.419799,73.792248,1
KRH,KHAIRTHAL,27.801197,76.641827,8
KSG,KISHANGARH,26.589448,74.856033,12
KSI,KOSLI,28.412087,76.464844,2
KSV,KOSI KALAN,27.788441,77.445889,1
KT,KUMTA,14.437091,74.420872,1
KTH,KATRASGARH,23.795987,86.302629,1
KUKA,KUKA,30.301464,74.080441,1
KUN,KARNAL,29.694316,76.969571,1
KWP,KHATIPURA,26.836019,75.890808,2
KXG,KHARIA KHANGAR,26.609863,73.686333,1
LAU,LADNUN,27.64263,74.40568,1
LDH,LUDHIANA JN,30.912387,75.847893,4
LDK,LADHUKA,30.49831,74.119434,1
LGH,LALGARH JN,28.043728,73.313999,3
LHU,LOHARU,28.427411,75.801973,3
LKE,LAKHERI,25.640134,76.192417,4
LKO,LUCKNOW JN.,26.830505,80.925121,2
LKS,LUNKARANSAR,28.493135,73.742895,2
LKU,LALKUA JN.,29.071174,79.517241,1
LMNR,LAKSHMIBAI NGR,22.742306,75.858536,1
LNH,LACHHMAN GARH SIKAR,27.832776,75.034304,1
LUNI,LUNI JN,26.001716,73.003635,6
MABA,MANDI BAMORA,24.053832,78.082237,1
MAJN,MANGALORE JUNCTION,12.866113,74.87998,1
MAKR,BINA MALKHERI JUNCTION,24.170404,78.223489,1
MAO,MADGAON JUNCTION,15.267791,73.970604,1
MAUR,MAUR,30.062706,75.22768,1
MB,MORADABAD,28.831441,78.765621,3
MBDP,MAA BELHA DEVI DHAM PRATAPGARH,25.7739838,82.18215785,1
MDJN,MADAR JN,26.456742,74.637594,1
MDL,MANDAL,25.441104,74.593048,2
MDNR,MODINAGAR,28.827907,77.571716,1
MDP,MADHUPUR JN.,24.270753,86.642303,1
MDS,MANDASOR,24.075697,75.076103,1
MDW,MARWAR MUNDWA,27.063406,73.815765,2
MEP,MAHIDPUR ROAD,23.567449,75.500278,1
MET,MALERKOTLA,30.529293,75.871582,1
MEX,MUKERIAN,31.941893,75.611858,1
MFP,MUZAFFARPUR JN,26.122151,85.377846,1
MGN,MEGHNAGAR,22.907329,74.539704,1
MHJ,MAHAJAN,28.793387,73.854046,1
MHRG,MAHENDRAGARH,28.281103,76.1483,2
MHU,MANHERU,28.700827,76.202717,2
MJ,MARWAR JN,25.720349,73.609171,8
MKH,MALAKHERA,27.389906,76.618652,3
MKN,MAKRANA JN,27.037722,74.723339,6
MLG,MALHARGARH,24.266058,74.973106,1
MLGH,MANDAL GARH,25.194146,75.08091,1
MNV,MUNGAOLI,24.402605,78.11142,3
MOGA,MOGA,30.817586,75.168757,1
MOI,MORI BERA,25.035255,73.135986,1
MOT,MALOUT,30.185051,74.495888,1
MOTC,MOTICHUR,29.98081,78.177338,1
MOZ,MUZAFFARNAGAR,29.468969,77.708087,1
MRND,MORINDA,30.791839,76.502781,1
MSH,MAHESANA JN,23.603003,72.389088,6
MSKT,MSKT KATHUA,32.332703,75.28395666666667,2
MSZ,MANSA,29.989285,75.402174,1
MTC,MEERUT CITY,28.97736,77.674856,1
MTD,MERTA ROAD JN,26.727827,73.917646,8
MTDB,MERTA ROAD BYPASS,26.926272,73.9452835,1
MTJ,MATHURA JN.,27.480025,77.672997,1
MUD,MURADNAGAR,28.759157,77.506914,1
MUT,MEERUT CANT,29.015947,77.686887,1
MVJ,MAVLI JN,24.794215,73.973351,8
MWT,MARWAR LOHAWAT,26.981746,72.58976,1
MWW,MAHWA,27.48406,76.609211,2
NAC,NAWA CITY,27.029159,74.998512,5
NAD,NAGDA JN,23.45616,75.412731,3
NANA,NANA,24.926295,73.110495,2
NBH,NIMBAHERA,24.623612,74.694672,1
ND,NADIAD JN,22.694566,72.856178,3
NDLS,NEW DELHI,28.642464,77.220154,1
NGO,NAGAUR,27.199831,73.723412,5
NH,NAIHATI JN,22.888195,88.41814,1
NHM,Nandol Dehegam,23.17382,72.815495,1
NHR,NOHAR,29.192181,74.773464,2
NKOT,NEW KOTA,25.028061,75.943122,1
NLDM,NANGAL DAM,31.370933,76.373005,1
NLI,NAMLI,23.455451,75.067091,1
NMH,NIMACH,24.459963,74.853115,1
NNL,NARNAUL,28.044486,76.123223,1
NOK,NOKHA,27.556373,73.475018,5
NPS,NAPASAR,27.981062,73.56411,1
NRD,Naroda,23.085812,72.658167,1
NRI,NARAINA,26.79588,75.192833,1
NRW,NARWANA JN,29.588722,76.109376,2
NSD,NASIRABAD,26.2948,74.717331,6
NUA,NUA,28.057287,75.283813,1
NVS,NAVSARI,20.946371,72.913814,5
NWH,NAWALGARH,27.843857,75.246177,1
NYK,NAYA KHARADIA,27.038486,74.935169,1
OKHA,Okha,22.47132,69.074135,1
PAD,PARDI,20.513213,72.924371,1
PDWA,PINDWARA,24.7866667,73.0341667,3
PGA,PAGARA,24.65591,77.44091,1
PGK,PILI BANGAN,29.483465,74.078922,2
PGT,PALAKKAD JN,10.801691,76.641526,1
PGW,PHAGWARA JN,31.217059,75.765367,3
PIA,PIPRAIGAON,24.503863,77.964478,1
PIH,PARHIHARA,27.927081,74.560089,1
PIP,PIPLIA,24.203563,75.007353,1
PLCJ,PHALODI JN,27.124994,72.366943,2
PLG,PALGHAR,19.697708,72.77215,3
PLSN,PALSANA,27.485126,75.38033,2
PM,PALAM,28.585916,77.09321,1
PMY,PALI MARWAR,25.790772,73.327389,5
PNBE,PATNA JN,25.60287,85.137134,1
PNU,PALANPUR JN,24.174633,72.430372,6
PNVL,PANVEL,18.990429,73.121266,1
POK,POKRAN,26.930641,71.923199,2
PPR,PIPAR ROAD JN,26.4529,73.448753,1
PRJ,Prantij,23.438994,72.862358,1
PRYJ,PRAYAGRAJ JN,26.170478666666668,81.92108666666667,1
PSL,PARISAL,27.669086,76.614876,2
PTKC,PATHANKOT CANTT,32.137298,75.44790733333333,2
PTRD,PATAUDI ROAD,28.350468,76.755295,3
PUS,PHUSRO,23.767829,86.01059,1
RANI,RANI,25.347672,73.31048,3
